trip_id,vehicle_id,attempt_number,draw_number,parking_index,success,is_planned_cell
257,25,1,1,13,False,False
257,25,1,2,10,True,True
258,25,1,1,77,True,True
259,25,1,1,113,False,True
259,25,2,1,112,True,False
260,26,1,1,16,True,True
261,26,1,1,150,True,True
262,26,1,1,5,False,True
262,26,2,1,4,False,False
262,26,2,2,7,True,True
263,26,1,1,9,False,True
263,26,2,1,9,True,True
264,26,1,1,59,False,True
264,26,2,1,73,True,True
265,26,1,1,61,False,True
265,26,2,1,61,True,True
266,26,1,1,81,True,False
267,26,1,1,78,True,False
268,26,1,1,69,True,True
269,26,1,1,63,True,True
270,27,1,1,137,True,False
271,27,1,1,7,True,True
272,27,1,1,114,False,True
272,27,2,1,113,False,True
272,27,3,1,113,False,True
272,27,4,1,94,True,True
273,27,1,1,72,True,False
274,27,1,1,140,True,True
275,27,1,1,154,False,True
275,27,2,1,147,False,True
275,27,3,1,147,True,True
276,27,1,1,31,True,True
277,27,1,1,99,False,True
277,27,2,1,99,True,True
278,27,1,1,57,True,True
279,27,1,1,78,False,True
279,27,2,1,82,True,True
280,28,1,1,81,True,True
281,28,1,1,152,False,True
281,28,2,1,152,True,True
282,28,1,1,138,False,True
282,28,2,1,138,False,True
282,28,3,1,150,True,True
283,28,1,1,137,True,True
284,28,1,1,122,False,True
284,28,2,1,122,False,True
284,28,3,1,120,False,True
284,28,4,1,128,True,True
285,28,1,1,16,True,True
286,28,1,1,53,True,True
287,28,1,1,100,False,True
287,28,2,1,100,False,True
287,28,3,1,96,True,True
288,28,1,1,14,False,True
288,28,2,1,14,True,True
289,28,1,1,86,False,True
289,28,2,1,121,False,True
289,28,3,1,121,True,True
290,29,1,1,27,False,True
290,29,2,1,27,False,True
290,29,3,1,27,False,True
290,29,4,1,27,True,True
291,29,1,1,40,False,True
291,29,2,1,40,False,True
291,29,3,1,40,False,True
291,29,4,1,39,True,False
292,29,1,1,149,False,True
292,29,2,1,149,False,True
292,29,3,1,149,True,True
293,29,1,1,154,True,True
294,29,1,1,112,True,True
295,29,1,1,101,True,True
296,29,1,1,15,True,True
297,29,1,1,38,True,False
298,29,1,1,140,True,True
299,29,1,1,147,True,True
300,30,1,1,147,True,False
301,30,1,1,32,True,True
302,30,1,1,123,True,True
303,30,1,1,137,False,True
303,30,2,1,130,False,True
303,30,3,1,130,False,True
303,30,4,1,130,True,True
304,30,1,1,101,True,True
305,30,1,1,43,False,True
305,30,2,1,36,False,True
305,30,3,1,36,True,True
306,30,1,1,78,True,True
307,30,1,1,129,True,True
308,30,1,1,111,False,True
308,30,2,1,111,True,True
309,30,1,1,125,True,True
310,31,1,1,104,True,True
311,31,1,1,94,False,True
311,31,2,1,94,False,True
311,31,3,1,94,True,True
312,31,1,1,150,True,True
313,31,1,1,114,False,True
313,31,2,1,130,False,True
313,31,3,1,130,True,True
314,31,1,1,145,True,True
315,31,1,1,96,True,True
316,31,1,1,141,False,True
316,31,2,1,140,False,False
316,31,2,2,144,True,True
317,31,1,1,81,True,True
318,31,1,1,86,True,True
319,31,1,1,129,False,True
319,31,2,1,129,False,True
319,31,3,1,129,True,True
320,32,1,1,14,False,False
320,32,1,2,1,True,True
321,32,1,1,2,True,True
322,32,1,1,69,True,True
323,32,1,1,6,True,True
324,32,1,1,71,False,True
324,32,2,1,70,False,True
