estimator,parking_index,theta_hat,successes,exposure
oracle_exposure,70,0.6224489795918368,60.0,96.0
oracle_exposure,71,0.3486238532110092,37.0,107.0
oracle_exposure,72,0.5428571428571428,56.0,103.0
oracle_exposure,73,0.592,73.0,123.0
oracle_exposure,74,0.6486486486486487,47.0,72.0
oracle_exposure,75,0.3333333333333333,29.0,88.0
oracle_exposure,76,0.5675675675675675,41.0,72.0
oracle_exposure,77,0.6907216494845361,66.0,95.0
oracle_exposure,78,0.6285714285714286,65.0,103.0
oracle_exposure,79,0.41025641025641024,31.0,76.0
oracle_exposure,80,0.7368421052631579,41.0,55.0
oracle_exposure,81,0.7538461538461538,48.0,63.0
oracle_exposure,82,0.6823529411764706,57.0,83.0
oracle_exposure,83,0.3103448275862069,17.0,56.0
oracle_exposure,84,0.3111111111111111,13.0,43.0
oracle_exposure,85,0.7307692307692307,56.0,76.0
oracle_exposure,86,0.4489795918367347,65.0,145.0
oracle_exposure,87,0.33962264150943394,17.0,51.0
oracle_exposure,88,0.509090909090909,27.0,53.0
oracle_exposure,89,0.7395833333333334,70.0,94.0
oracle_exposure,90,0.5,43.0,86.0
oracle_exposure,91,0.4153846153846154,26.0,63.0
oracle_exposure,92,0.525,20.0,38.0
oracle_exposure,93,0.1896551724137931,10.0,56.0
oracle_exposure,94,0.55,32.0,58.0
oracle_exposure,95,0.6229508196721312,37.0,59.0
oracle_exposure,96,0.23809523809523808,19.0,82.0
oracle_exposure,97,0.42424242424242425,41.0,97.0
oracle_exposure,98,0.26495726495726496,30.0,115.0
oracle_exposure,99,0.5,40.0,80.0
oracle_exposure,100,0.20967741935483872,12.0,60.0
oracle_exposure,101,0.8163265306122449,39.0,47.0
oracle_exposure,102,0.5892857142857143,32.0,54.0
oracle_exposure,103,0.4823529411764706,40.0,83.0
oracle_exposure,104,0.5673076923076923,58.0,102.0
oracle_exposure,105,0.6964285714285714,38.0,54.0
oracle_exposure,106,0.36,17.0,48.0
oracle_exposure,107,0.3023255813953488,25.0,84.0
oracle_exposure,108,0.3,14.0,48.0
oracle_exposure,109,0.3333333333333333,27.0,82.0
oracle_exposure,110,0.23958333333333334,22.0,94.0
oracle_exposure,111,0.2911392405063291,22.0,77.0
oracle_exposure,112,0.5333333333333333,23.0,43.0
oracle_exposure,113,0.28169014084507044,19.0,69.0
oracle_exposure,114,0.20238095238095238,16.0,82.0
oracle_exposure,115,0.7377049180327869,44.0,59.0
oracle_exposure,116,0.22972972972972974,16.0,72.0
oracle_exposure,117,0.3191489361702128,14.0,45.0
oracle_exposure,118,0.8163265306122449,39.0,47.0
oracle_exposure,119,0.5972222222222222,42.0,70.0
oracle_exposure,120,0.6111111111111112,32.0,52.0
oracle_exposure,121,0.5833333333333334,34.0,58.0
oracle_exposure,122,0.21428571428571427,17.0,82.0
oracle_exposure,123,0.8076923076923077,41.0,50.0
oracle_exposure,124,0.4411764705882353,14.0,32.0
oracle_exposure,125,0.4423076923076923,22.0,50.0
oracle_exposure,126,0.2777777777777778,19.0,70.0
oracle_exposure,127,0.24299065420560748,25.0,105.0
oracle_exposure,128,0.5625,35.0,62.0
oracle_exposure,129,0.5357142857142857,29.0,54.0
oracle_exposure,130,0.45454545454545453,19.0,42.0
oracle_exposure,131,0.76,18.0,23.0
oracle_exposure,132,0.7868852459016393,47.0,59.0
oracle_exposure,133,0.48484848484848486,31.0,64.0
oracle_exposure,134,0.39361702127659576,36.0,92.0
oracle_exposure,135,0.45161290322580644,27.0,60.0
oracle_exposure,136,0.4634146341463415,18.0,39.0
oracle_exposure,137,0.6136363636363636,26.0,42.0
oracle_exposure,138,0.7346938775510204,35.0,47.0
oracle_exposure,139,0.417910447761194,27.0,65.0
oracle_exposure,140,0.2786885245901639,16.0,59.0
oracle_exposure,141,0.3148148148148148,16.0,52.0
oracle_exposure,142,0.2608695652173913,11.0,44.0
oracle_exposure,143,0.38571428571428573,53.0,138.0
oracle_exposure,144,0.6206896551724138,35.0,56.0
oracle_exposure,145,0.4375,20.0,46.0
oracle_exposure,146,0.5824175824175825,52.0,89.0
oracle_exposure,147,0.6049382716049383,48.0,79.0
oracle_exposure,148,0.20987654320987653,16.0,79.0
oracle_exposure,149,0.41818181818181815,22.0,53.0
oracle_exposure,150,0.5384615384615384,27.0,50.0
oracle_exposure,151,0.47692307692307695,61.0,128.0
oracle_exposure,152,0.3302752293577982,35.0,107.0
