trip_id,vehicle_id,attempt_number,planned_index,actual_index,success,stopped_early,early_eligible_indices
186,18,1,62,70,True,True,70
187,18,1,54,54,False,False,63
187,18,2,54,54,True,False,
188,18,1,18,22,True,True,28 22
189,18,1,16,16,True,False,
190,19,1,95,95,True,False,
191,19,1,57,57,False,False,
191,19,2,57,57,False,False,
191,19,3,57,57,False,False,
191,19,4,44,44,False,False,
191,19,5,57,57,True,False,
192,19,1,138,138,True,False,
193,19,1,119,119,True,False,
194,19,1,53,53,True,False,
195,19,1,62,62,False,False,
195,19,2,38,38,True,False,
196,19,1,141,141,True,False,
197,19,1,78,78,True,False,
198,19,1,86,86,True,False,
199,19,1,59,59,True,False,
200,20,1,90,90,True,False,
201,20,1,66,66,False,False,
201,20,2,78,78,False,False,
201,20,3,78,78,True,False,
202,20,1,99,99,True,False,
203,20,1,134,134,False,False,
203,20,2,134,134,False,False,
203,20,3,123,123,True,False,
204,20,1,51,51,False,False,
204,20,2,51,51,True,False,
205,20,1,97,97,True,False,
206,20,1,52,52,True,False,
207,20,1,24,38,True,True,38
208,20,1,32,31,True,True,31
209,20,1,51,51,False,False,50
209,20,2,51,51,False,False,
209,20,3,66,66,False,False,
209,20,4,45,45,False,False,
209,20,5,60,60,True,False,51
210,21,1,104,104,False,False,98
210,21,2,98,98,False,False,
210,21,3,97,97,True,False,
211,21,1,16,16,False,False,
211,21,2,8,8,False,False,
211,21,3,8,8,False,False,
211,21,4,8,8,False,False,
211,21,5,16,16,False,False,
211,21,6,5,5,False,False,
211,21,7,5,5,True,False,
212,21,1,16,16,False,False,
212,21,2,34,34,True,False,
213,21,1,148,148,False,False,
213,21,2,148,148,False,False,
213,21,3,154,154,False,False,
213,21,4,154,154,True,False,
214,21,1,13,13,False,False,
214,21,2,13,13,True,False,
215,21,1,48,47,True,True,47
216,21,1,51,52,True,True,52
217,21,1,149,149,False,False,
217,21,2,140,140,False,False,
217,21,3,140,140,False,False,
217,21,4,149,149,True,False,
218,21,1,148,148,True,False,
219,21,1,128,128,True,False,
220,22,1,130,130,False,False,
220,22,2,149,149,True,False,141
221,22,1,146,147,True,True,147
222,22,1,31,31,True,False,
223,22,1,66,59,True,True,59
224,22,1,38,38,True,False,
225,22,1,115,115,True,False,
226,22,1,78,78,False,False,
226,22,2,78,78,False,False,
226,22,3,60,79,True,True,79 75 68
227,22,1,93,80,True,True,80 83 87 88
